Artist,ArtistURI,Track,TrackURI,Album,AlbumURI,SpotifyURI,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Stream
Linkin Park,https://www.wikidata.org/entity/Q261,In the End,https://www.wikidata.org/entity/Q20003,Hybrid Theory,https://www.wikidata.org/entity/Q19862,60a0Rd6pjrkxjPbaKzXjfq,556,864,3,-5.87,0.0584,0.00958,0,209,0.4,105143,1444841705
Farruko,https://www.wikidata.org/entity/Q5436372,Pepas,https://www.wikidata.org/entity/Q107947655,La 167,https://www.wikidata.org/entity/Q113512247,2B4GHvToeLTOBB4QLzW3Ni,762,766,7,-3955,0.0343,0.00776,6.98E-5,128,442,130001,1174282383
Luis Fonsi,https://www.wikidata.org/entity/Q1387726,Despacito,https://www.wikidata.org/entity/Q28572509,Vida,https://www.wikidata.org/entity/Q60770473,6habFhsOp2NvshLv26DqMb,655,797,2,-4787,153,198,0,67,839,177928,1506598267
David Guetta,https://www.wikidata.org/entity/Q8298,I'm Good (Blue),https://www.wikidata.org/entity/Q113680812,I'm Good (Blue),https://www.wikidata.org/entity/Q113680812,4uUG5RXrOk84mYEfFvj3cK,561,965,7,-3673,0.0343,0.00383,7.07E-6,371,304,128.04,647071452
Miley Cyrus,https://www.wikidata.org/entity/Q4235,Flowers,https://www.wikidata.org/entity/Q112939324,Flowers,https://www.wikidata.org/entity/Q115945493,0yLdNVWF3Srea0uzk55zFn,707,681,0,-4325,0.0668,0.0632,5.15E-6,0.0322,646,117999,283884907
Future,https://www.wikidata.org/entity/Q3445057,Puffin on Zootiez,https://www.wikidata.org/entity/Q112648818,I Never Liked You,https://www.wikidata.org/entity/Q111770769,1qMMYpVatbRITKCfq1gasi,883,657,8,-5748,305,0.0603,0,128,284,124992,168953668
Passenger,https://www.wikidata.org/entity/Q653086,Let Her Go,https://www.wikidata.org/entity/Q3914117,All the Little Lights,https://www.wikidata.org/entity/Q13418291,1KxwZYyzWNyZSRyErj2ojT,479,545,7,-7346,0.0688,365,0,0.0963,243,74897,1785368454
Adele,https://www.wikidata.org/entity/Q23215,Easy on Me,https://www.wikidata.org/entity/Q108805763,30,https://www.wikidata.org/entity/Q108773286,46IZ0fSY2mpAiktS3KOqds,604,366,5,-7519,0.0282,578,0,133,0.13,141981,1198067568
Lady Gaga,https://www.wikidata.org/entity/Q19848,Always Remember Us This Way,https://www.wikidata.org/entity/Q57461813,A Star Is Born – Soundtrack,https://www.wikidata.org/entity/Q56379599,2rbDhOo9Fh61Bbu23T2qCk,553,502,0,-5972,0.0409,299,0,764,296,129976,903516947
Ariana Grande,https://www.wikidata.org/entity/Q151892,One Last Time,https://www.wikidata.org/entity/Q3882502,My Everything,https://www.wikidata.org/entity/Q17297888,7xoUc6faLbCqZO6fQEYprd,628,593,8,-5036,0.0323,93,1.65E-6,96,104,125026,1090948668
Bruno Mars,https://www.wikidata.org/entity/Q1450,That's What I Like,https://www.wikidata.org/entity/Q28452709,24K Magic,https://www.wikidata.org/entity/Q27133229,0KKkJNfGyhkQ5aFogxQAPU,853,0.56,1,-4961,0.0406,13,0,0.0944,0.86,134066,1562466168
Playboi Carti,https://www.wikidata.org/entity/Q27671080,Sky,https://www.wikidata.org/entity/Q8091414,Whole Lotta Red,https://www.wikidata.org/entity/Q104461032,29TPjc8wxfz4XMn21O7VsZ,785,903,2,-4184,0.21,258,0,169,565,139.98,406548720
Kendrick Lamar,https://www.wikidata.org/entity/Q130798,N95,https://www.wikidata.org/entity/Q112182851,Mr. Morale & the Big Steppers,https://www.wikidata.org/entity/Q111653455,0fX4oNGBWO3dSGUZcVdVV2,0.79,0.67,1,-5527,105,377,2.32E-6,119,408,139956,226246635
The Weeknd,https://www.wikidata.org/entity/Q2121062,Starboy,https://www.wikidata.org/entity/Q26980835,Starboy,https://www.wikidata.org/entity/Q26980835,7MXVkk9YMctZqd1Srtv4MB,679,587,7,-7015,276,141,6.35E-6,137,486,186003,2180812000
The Weeknd,https://www.wikidata.org/entity/Q2121062,Blinding Lights,https://www.wikidata.org/entity/Q76566134,After Hours,https://www.wikidata.org/entity/Q85189613,0VjIjW4GlUZAMYd2vXMi3b,514,0.73,1,-5934,0.0598,0.00146,9.54E-5,0.0897,334,171005,3386520288
The Weeknd,https://www.wikidata.org/entity/Q2121062,Save Your Tears,https://www.wikidata.org/entity/Q96405034,After Hours,https://www.wikidata.org/entity/Q85189613,5QO79kh1waicV47BqGRL3g,0.68,826,0,-5487,0.0309,0.0212,1.24E-5,543,644,118051,1368121562
Meghan Trainor,https://www.wikidata.org/entity/Q17403494,Made You Look,https://www.wikidata.org/entity/Q1133678,Takin' It Back,https://www.wikidata.org/entity/Q114232319,0QHEIqNKsMoOY5urbzN48u,838,525,10,-3562,0.0665,345,1.92E-6,0.0771,884,144981,269188318
Iggy Azalea,https://www.wikidata.org/entity/Q2748803,Fancy,https://www.wikidata.org/entity/Q15891138,The New Classic,https://www.wikidata.org/entity/Q8086255,3oiMJQAWVaxSubJ7b2VUtX,912,716,10,-4141,0.0697,0.0904,0,0.0491,377,94981,633676785
Rema,https://www.wikidata.org/entity/Q65071082,Calm Down,https://www.wikidata.org/entity/Q113669344,Rave & Roses,https://www.wikidata.org/entity/Q111947577,3BnDvpeuGOj21Ir2aVEtQo,814,789,11,-6.29,0.0405,365,5.02E-4,137,842,107003,277571368
Glass Animals,https://www.wikidata.org/entity/Q16839267,Heat Waves,https://www.wikidata.org/entity/Q104540815,Dreamland,https://www.wikidata.org/entity/Q98279558,02MWAaffLxlfxAUY7c5dvx,761,525,11,-6.9,0.0944,0.44,6.7E-6,0.0921,531,80.87,2261464473
Doja Cat,https://www.wikidata.org/entity/Q51120673,Get Into It (Yuh),https://www.wikidata.org/entity/Q108392446,Planet Her,https://www.wikidata.org/entity/Q106474259,0W6I02J9xcqK8MtSeosEXb,912,655,8,-6029,162,315,3.39E-5,0.0894,793,91942,456183004
Doja Cat,https://www.wikidata.org/entity/Q51120673,Ain't Shit,https://www.wikidata.org/entity/Q107642960,Planet Her,https://www.wikidata.org/entity/Q106474259,5lAnYvAIkSDNXqfo7DyFUm,855,488,3,-4601,208,506,0,347,619,124097,437721967
SZA,https://www.wikidata.org/entity/Q16210722,Kill Bill,https://www.wikidata.org/entity/Q115706733,SOS,https://www.wikidata.org/entity/Q115271946,1Qrg8KqiBpW07V7PNxwwwL,644,735,8,-5747,0.0391,0.0521,144,161,418,88.98,359102970
SZA,https://www.wikidata.org/entity/Q16210722,Nobody Gets Me,https://www.wikidata.org/entity/Q115755882,SOS,https://www.wikidata.org/entity/Q115271946,5Y35SjAfXjjG0sFQ3KOxmm,358,284,7,-8285,0.0285,805,0,183,276,99796,122981063
SZA,https://www.wikidata.org/entity/Q16210722,Snooze,https://www.wikidata.org/entity/Q117842122,SOS,https://www.wikidata.org/entity/Q115271946,4iZ4pt7kvcaH6Yo8UoZ4s2,559,551,5,-7231,132,141,0,0.11,392,143008,80147750
Morgan Wallen,https://www.wikidata.org/entity/Q29561472,Wasted on You,https://www.wikidata.org/entity/Q105038625,Dangerous: The Double Album,https://www.wikidata.org/entity/Q104884614,3cBsEDNhFI9E82vPj3kvi3,505,657,11,-5.24,0.0318,373,0.00107,126,252,196,330942598
Shawn Mendes,https://www.wikidata.org/entity/Q17198340,There's Nothing Holdin' Me Back,https://www.wikidata.org/entity/Q29998244,Illuminate,https://www.wikidata.org/entity/Q26181714,7JJmb5XwzOO8jgpou264Ml,866,813,11,-4063,0.0554,0.38,0,0.0779,969,121998,1546722489
Brent Faiyaz,https://www.wikidata.org/entity/Q41816524,All Mine,https://www.wikidata.org/entity/Q55603669,Wasteland,https://www.wikidata.org/entity/Q113016235,3XgGQ1wjo5khvq2UImjyNF,617,378,9,-8.54,0.0315,428,9.16E-5,0.11,0.22,141967,94921891
GHOSTEMANE,https://www.wikidata.org/entity/Q45898094,Mercury: Retrograde,https://www.wikidata.org/entity/Q123118122,Hexada,https://www.wikidata.org/entity/Q98479343,0UKzG4fJ1LXf6DInew5vcV,826,816,2,-7345,345,0.0581,0.00938,0.0593,0.43,156995,252566690
Bad Bunny,https://www.wikidata.org/entity/Q44333953,Me porto bonito,https://www.wikidata.org/entity/Q112161024,Un Verano Sin Ti,https://www.wikidata.org/entity/Q111819051,6Sq7ltF9Qa7SNFBsV5Cogx,911,712,1,-5105,0.0817,0.0901,2.68E-5,0.0933,425,92005,1126562780
Bad Bunny,https://www.wikidata.org/entity/Q44333953,Tití Me Preguntó,https://www.wikidata.org/entity/Q112271410,Un Verano Sin Ti,https://www.wikidata.org/entity/Q111819051,1IHWl5LamUGEuP4ozKQSXZ,0.65,715,5,-5198,253,0.0993,2.91E-4,126,187,106672,1015110510
Bad Bunny,https://www.wikidata.org/entity/Q44333953,Efecto,https://www.wikidata.org/entity/Q112762617,Un Verano Sin Ti,https://www.wikidata.org/entity/Q111819051,5Eax0qFko2dh7Rl2lYs3bx,801,475,7,-8797,0.0516,141,1.73E-5,0.0639,234,98047,811817080
Bad Bunny,https://www.wikidata.org/entity/Q44333953,Moscow Mule,https://www.wikidata.org/entity/Q112056138,Un Verano Sin Ti,https://www.wikidata.org/entity/Q111819051,6Xom58OOXk2SoU711L2IXO,804,674,5,-5453,0.0333,294,1.18E-6,115,292,99968,734777959
Rauw Alejandro,https://www.wikidata.org/entity/Q61586861,Desesperados,https://www.wikidata.org/entity/Q113297089,Vice versa,https://www.wikidata.org/entity/Q107343923,6mmPpaltUZK7xjNlBPQQ0p,869,694,1,-3.35,0.0783,356,0.00125,0.0878,511,90.02,666769363
Billie Eilish,https://www.wikidata.org/entity/Q29564107,Happier Than Ever,https://www.wikidata.org/entity/Q106634897,Happier Than Ever,https://www.wikidata.org/entity/Q106634897,4RVwu0g32PAqgUiJoXsdF8,332,225,0,-8697,0.0348,767,0.00349,128,297,81055,907762843
Harry Styles,https://www.wikidata.org/entity/Q3626966,As It Was,https://www.wikidata.org/entity/Q111397510,Harry's House,https://www.wikidata.org/entity/Q111343757,4Dvkj6JhhA12EX05fT7y2e,0.52,731,6,-5338,0.0557,342,0.00101,311,662,173.93,1865475968
Harry Styles,https://www.wikidata.org/entity/Q3626966,Late Night Talking,https://www.wikidata.org/entity/Q112075432,Harry's House,https://www.wikidata.org/entity/Q111343757,1qEmFfgcLObUfQm0j1W2CK,714,728,10,-4595,0.0468,298,0,106,901,114996,540698676
Roddy Ricch,https://www.wikidata.org/entity/Q59209423,The Box,https://www.wikidata.org/entity/Q82025076,Please Excuse Me for Being Antisocial,https://www.wikidata.org/entity/Q82050732,0nbXyq5TXYPCO7pr3N8S4I,896,586,10,-6687,0.0559,104,0,0.79,642,116971,1568151331
Noah Kahan,https://www.wikidata.org/entity/Q53832755,Stick Season,https://www.wikidata.org/entity/Q118944525,Stick Season,https://www.wikidata.org/entity/Q118944525,0mflMxspEfB0VbI1kyLiAv,662,488,9,-6894,0.0682,782,0,102,817,117913,101928564
Juice WRLD,https://www.wikidata.org/entity/Q52151598,Wishing Well,https://www.wikidata.org/entity/Q97382488,Legends Never Die,https://www.wikidata.org/entity/Q97015538,2U5WueTLIK5WJLD7mvDODv,0.65,613,9,-6.13,128,0.00336,0,267,0.0804,149972,740272344
Polo G,https://www.wikidata.org/entity/Q62953486,Martin & Gina,https://www.wikidata.org/entity/Q104034124,The Goat,https://www.wikidata.org/entity/Q96323049,1VLtjHwRWOVJiE5Py7JxoQ,832,534,1,-7813,253,345,0,165,116,93924,615889219
Lil Nas X,https://www.wikidata.org/entity/Q62591281,Thats What I Want,https://www.wikidata.org/entity/Q108570587,Montero,https://www.wikidata.org/entity/Q108282460,0e8nrvls4Qqv5Rfa2UhqmO,737,846,1,-4.51,0.22,0.00614,0,0.0486,546,87981,816086723
